2025-04-18 00:36:33,090 - Scanned: C:/Users/USER/Downloads/lec_b-05 - Memory Architecture.pdf, Threat Type: No Threat, Risk Level: Low, Action: Scanned, Additional Info: 
2025-04-18 00:36:33,090 - Scanned: C:/Users/USER/Downloads/lec_b-06 - Interfacing input output strategies.pdf, Threat Type: No Threat, Risk Level: Low, Action: Scanned, Additional Info: 
2025-04-18 00:36:33,091 - Scanned: C:/Users/USER/Downloads/lec_b-04 - Instruction Sets Architecture and Design.pdf, Threat Type: No Threat, Risk Level: Low, Action: Scanned, Additional Info: 
2025-04-18 00:36:33,092 - Scanned: C:/Users/USER/Downloads/lec_b-03 - Instruction pipelining and operation of control unit.pdf, Threat Type: No Threat, Risk Level: Low, Action: Scanned, Additional Info: 
2025-04-18 00:36:33,092 - Scanned: C:/Users/USER/Downloads/lec_b-02 - Structure and Function of Central Processing Unit.pdf, Threat Type: No Threat, Risk Level: Low, Action: Scanned, Additional Info: 
2025-04-18 00:36:33,093 - Scanned: C:/Users/USER/Downloads/lec_b-01 -  Basic Concepts and System Buses.pdf, Threat Type: No Threat, Risk Level: Low, Action: Scanned, Additional Info: 
2025-04-18 00:36:33,095 - Scanned: C:/Users/USER/Downloads/lec_a-07 - data representation and arithmetic.pdf, Threat Type: No Threat, Risk Level: Low, Action: Scanned, Additional Info: 
2025-04-18 00:36:33,096 - Scanned: C:/Users/USER/Downloads/lec_a-06 - sequential logic circuits-counters and shift registers.pdf, Threat Type: No Threat, Risk Level: Low, Action: Scanned, Additional Info: 
2025-04-18 00:36:33,096 - Scanned: C:/Users/USER/Downloads/lec_a-04 - standard combinational logic circuits.pdf, Threat Type: No Threat, Risk Level: Low, Action: Scanned, Additional Info: 
2025-04-18 00:36:33,097 - Scanned: C:/Users/USER/Downloads/lec_a-05 - sequential logic circuits-flip-flops.pdf, Threat Type: No Threat, Risk Level: Low, Action: Scanned, Additional Info: 
2025-04-18 00:36:33,097 - Scanned: C:/Users/USER/Downloads/lec_a-03 - design of combinational logic circuits.pdf, Threat Type: No Threat, Risk Level: Low, Action: Scanned, Additional Info: 
2025-04-18 00:36:33,098 - Scanned: C:/Users/USER/Downloads/lec_a-02 - introduction to digital logic and boolean algebra.pdf, Threat Type: No Threat, Risk Level: Low, Action: Scanned, Additional Info: 
2025-04-18 00:36:33,099 - Scanned: C:/Users/USER/Downloads/lec_a-01 - number systems and codes.pdf, Threat Type: No Threat, Risk Level: Low, Action: Scanned, Additional Info: 
2025-04-18 00:36:33,100 - Scanned: C:/Users/USER/Downloads/Lab cover page.docx, Threat Type: No Threat, Risk Level: Low, Action: Scanned, Additional Info: 
2025-04-18 00:36:33,101 - Scanned: C:/Users/USER/Downloads/Unconfirmed 260453.crdownload, Threat Type: Large File, Risk Level: Medium, Action: Scanned, Additional Info: 
2025-04-18 00:36:33,102 - Scanned: C:/Users/USER/Downloads/Steps2Install.pdf, Threat Type: No Threat, Risk Level: Low, Action: Scanned, Additional Info: 
2025-04-18 00:36:33,103 - Scanned: C:/Users/USER/Downloads/Assignment_Description (1).pdf, Threat Type: No Threat, Risk Level: Low, Action: Scanned, Additional Info: 
2025-04-18 00:36:33,104 - Scanned: C:/Users/USER/Downloads/Tutorial 1.pdf, Threat Type: No Threat, Risk Level: Low, Action: Scanned, Additional Info: 
2025-04-18 00:36:33,105 - Scanned: C:/Users/USER/Downloads/Lecture 1.pptx, Threat Type: No Threat, Risk Level: Low, Action: Scanned, Additional Info: 
2025-04-18 00:36:33,106 - Scanned: C:/Users/USER/Downloads/Assignment_Description.pdf, Threat Type: No Threat, Risk Level: Low, Action: Scanned, Additional Info: 
2025-04-18 00:38:25,083 - Scanned: C:/Users/USER/Downloads/Lab A02 Ori copy.cv, Threat Type: Recently Modified, Risk Level: Medium, Action: Scanned, Additional Info: 
2025-04-18 00:38:25,083 - Scanned: C:/Users/USER/Downloads/Tutorial 1 (2).pdf, Threat Type: No Threat, Risk Level: Low, Action: Scanned, Additional Info: 
2025-04-18 00:38:25,084 - Scanned: C:/Users/USER/Downloads/Lab2.pdf, Threat Type: No Threat, Risk Level: Low, Action: Scanned, Additional Info: 
2025-04-18 00:38:25,084 - Scanned: C:/Users/USER/Downloads/obito.jpg, Threat Type: No Threat, Risk Level: Low, Action: Scanned, Additional Info: 
2025-04-18 00:38:25,084 - Scanned: C:/Users/USER/Downloads/Assignment_Description (2).pdf, Threat Type: No Threat, Risk Level: Low, Action: Scanned, Additional Info: 
